miRNA	Contrast	Dir	Info	Source
hsa-miR-148a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-199b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-150-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-224-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-195-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-205-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-200a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-27a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-33a-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-15a-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-106a-5p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-221-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-29c-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-200b-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-147a	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-155-5p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-214-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-187-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-18a-5p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-152-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-192-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-105-5p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-200c-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-126-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-26a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7c-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-143-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-145-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7g-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-26b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-16-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-125b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-182-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-let-7f-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-195-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-22-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-147a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-371a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-184	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-373-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-346	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-129-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-7-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-372-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-137	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-27a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-24-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-144-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-221-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-135a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
