miRNA	Source	Info	Dir	Contrast
hsa-let-7a-2-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-let-7a-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up, up	Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-let-7b-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-let-7c-5p	CMEP	GSE41526_BCvsNorm, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	down, up, up, up	BC vs Norm, Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-let-7e-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-let-7f-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-let-7g-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-let-7i-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-100-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-100-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-101-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-101-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-103-3p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-103a-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up	LumA vs TNBC, LumB vs TNBC
hsa-miR-103b	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-106a-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-106a-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-106b-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-107	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-10a-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	up, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-10b-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-miR-1178-3p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-1184	CMEP	GSE98181_BCvsNorm, GSE41526_BCvsNorm	down, up	BC vs Norm, BC vs Norm
hsa-miR-1197	CMEP	GSE58606_HER2vsTNBC, GSE41526_BCvsNorm	up, up	Her2 vs TNBC, BC vs Norm
hsa-miR-1200	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-1205	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-122-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-1225-5p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-1226-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-1226-5p	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-1229-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-1231	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-1234-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-124-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-1244	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1245a	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1245b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1247-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-1251-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1255b-5p	CMEP	GSE41526_BCvsNorm, GSE58606_HER2vsTNBC	down, up	BC vs Norm, Her2 vs TNBC
hsa-miR-1256	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	up, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-1258	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-125a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-125a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-125b-2-3p	CMEP	GSE53179_BCvsNorm	down	BC vs Norm
hsa-miR-125b-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-miR-126-3p	CMEP	GSE22981_BCvsNorm, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up, up, up	BC vs Norm, LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-126-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-miR-1260a	CMEP	GSE53179_BCvsNorm	up	BC vs Norm
hsa-miR-1261	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-1268a	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1268b	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-127-3p	CMEP	GSE41526_BCvsNorm, GSE58606_HER2vsTNBC	up, up	BC vs Norm, Her2 vs TNBC
hsa-miR-127-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1273g-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1275	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-1276	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-1283	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1284	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-1286	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1287-5p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-1288-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1289	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-129-2-3p	CMEP	GSE58606_HER2vsTNBC, GSE22981_BCvsNorm, GSE49035_S3vsS2	up, up, down	Her2 vs TNBC, BC vs Norm, Stage3 vs Stage2
hsa-miR-1292-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-1294	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-1295a	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-1295b-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1296-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-1297	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-1298-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1300	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-1304-5p	CMEP	GSE22981_BCvsNorm, GSE68373_MEvsNoME	down, down	BC vs Norm, Metastasis
hsa-miR-130a-3p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
