miRNA	Contrast	Dir	Info	Source
hsa-let-7a-5p	BC vs Norm	Down	Let-7a mimic attenuates CCL18 induced breast cancer cell metastasis through Lin 28 pathway.	mirCancerDB
hsa-let-7a-5p	BC vs Norm	Down	MicroRNA let-7a suppresses breast cancer cell migration and invasion through downregulation of C-C chemokine receptor type 7.	mirCancerDB
hsa-let-7a-5p	BC vs Norm	Down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.	mirCancerDB
hsa-let-7a-5p	BC vs Norm	Down	Let-7a inhibits growth and migration of breast cancer cells by targeting HMGA1.	mirCancerDB
hsa-let-7a-5p	BC vs Norm	Down	Lin28 induces epithelial-to-mesenchymal transition and stemness via downregulation of let-7a in breast cancer cells.	mirCancerDB
hsa-let-7b-5p	BC vs Norm	Down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.	mirCancerDB
hsa-let-7b-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-let-7b-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7c-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7d-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7e-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7g-5p	BC vs Norm	Down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.	mirCancerDB
hsa-let-7g-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7i-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-miR-1-3p	BC vs Norm	Down	Hsa-miR-1 suppresses breast cancer development by down-regulating K-ras and long non-coding RNA MALAT1.	mirCancerDB
hsa-miR-100-5p	BC vs Norm	Down	miR-100 suppresses IGF2 and inhibits breast tumorigenesis by interfering with proliferation and survival signaling.	mirCancerDB
hsa-miR-100-5p	BC vs Norm	Down	miR-100 Induces Epithelial-Mesenchymal Transition but Suppresses Tumorigenesis, Migration and Invasion.	mirCancerDB
hsa-miR-100-5p	BC vs Norm	Down	MicroRNA-100 suppresses the migration and invasion of breast cancer cells by targeting FZD-8 and inhibiting Wnt/?-catenin signaling pathway.	mirCancerDB
hsa-miR-101-3p	BC vs Norm	Down	miRNA-101 inhibits breast cancer growth and metastasis by targeting CX chemokine receptor 7.	mirCancerDB
hsa-miR-101-3p	BC vs Norm	Down	MicroRNA-101 targets von Hippel-Lindau tumor suppressor (VHL) to induce HIF1? mediated apoptosis and cell cycle arrest in normoxia condition.	mirCancerDB
hsa-miR-101-3p	BC vs Norm	Down	MicroRNA-101 inhibits cell proliferation and induces apoptosis by targeting EYA1 in breast cancer.	mirCancerDB
hsa-miR-106b-5p	BC vs Norm	Up	miR-106b and miR-93 regulate cell progression by suppression of PTEN via PI3K/Akt pathway in breast cancer.	mirCancerDB
hsa-miR-106b-5p	BC vs Norm	Up	MicroRNA-106b targets FUT6 to promote cell migration, invasion, and proliferation in human breast cancer.	mirCancerDB
hsa-miR-107	BC vs Norm	Down	MicroRNA-107 is downregulated and having tumor suppressive effect in breast cancer by negatively regulating BDNF.	mirCancerDB
hsa-miR-107	BC vs Norm	Down	miRNA-107 inhibits proliferation and migration by targeting CDK8 in breast cancer.	mirCancerDB
hsa-miR-10a-5p	BC vs Norm	Down	MicroRNA-10a is reduced in breast cancer and regulated in part through retinoic acid.	mirCancerDB
hsa-miR-10b-5p	BC vs Norm	Up	Critical role of miR-10b in transforming growth factor-?1-induced epithelial-mesenchymal transition in breast cancer.	mirCancerDB
hsa-miR-10b-5p	BC vs Norm	Up	Ablation of miR-10b Suppresses Oncogene-Induced Mammary Tumorigenesis and Metastasis and Reactivates Tumor-Suppressive Pathways.	mirCancerDB
hsa-miR-10b-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-10b-5p	BC vs Norm	Up	Exosome-mediated transfer of miR-10b promotes cell invasion in breast cancer.	mirCancerDB
hsa-miR-1207-5p	BC vs Norm	Up	PVT1-derived miR-1207-5p promotes breast cancer cell growth by targeting STAT6.	mirCancerDB
hsa-miR-122-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-miR-122-5p	BC vs Norm	Down	miR-122 Inhibits Cell Proliferation and Tumorigenesis of Breast Cancer by Targeting IGF1R.	mirCancerDB
hsa-miR-1228-3p	BC vs Norm	Up	miR-1228 promotes breast cancer cell growth and metastasis through targeting SCAI protein.	mirCancerDB
hsa-miR-1229-3p	BC vs Norm	Up	MicroRNA-1229 overexpression promotes cell proliferation and tumorigenicity and activates Wnt/?-catenin signaling in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	MicroRNA-124 inhibits cellular proliferation and invasion by targeting Ets-1 in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	Down-regulated microRNA-124 expression as predictive biomarker and its prognostic significance with clinicopathological features in breast cancer patients.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	MicroRNA-124 inhibits cell proliferation and migration by regulating SNAI2 in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	miR-124 targets Slug to regulate epithelial-mesenchymal transition and metastasis of breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	Microrna-124 targets flotillin-1 to regulate proliferation and migration in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	Global microRNA level regulation of EGFR-driven cell-cycle protein network in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	miR-124 inhibits cell proliferation in breast cancer through downregulation of CDK4.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	MicroRNA-124 suppresses breast cancer cell growth and motility by targeting CD151.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	miR-124 suppresses multiple steps of breast cancer metastasis by targeting a cohort of pro-metastatic genes in vitro.	mirCancerDB
hsa-miR-1246	BC vs Norm	Up	miRNA-1246 induces pro-inflammatory responses in mesenchymal stem/stromal cells by regulating PKA and PP2A.	mirCancerDB
hsa-miR-1258	BC vs Norm	Down	The expression and clinical significance of microRNA-1258 and heparanase in human breast cancer.	mirCancerDB
hsa-miR-1258	BC vs Norm	Down	MicroRNA-1258 suppresses breast cancer brain metastasis by targeting heparanase.	mirCancerDB
hsa-miR-125a-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Down	The role of miR-125b-mitochondria-caspase-3 pathway in doxorubicin resistance and therapy in human breast cancer.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Down	Differential expression of miR-21, miR-125b and miR-191 in breast cancer tissue.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Down	MicroRNA-125b induces metastasis by targeting STARD13 in MCF-7 and MDA-MB-231 breast cancer cells.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Down	miR-125b is methylated and functions as a tumor suppressor by regulating the ETS1 proto-oncogene in human invasive breast cancer.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Down	MUCIN 1 ONCOPROTEIN EXPRESSION IS SUPPRESSED BY THE miR-125b ONCOmiR.	mirCancerDB
hsa-miR-125b-5p	BC vs Norm	Up	Elevated microRNA-125b levels predict a worse prognosis in HER2-positive breast cancer patients.	mirCancerDB
hsa-miR-126-3p	BC vs Norm	Down	Endothelial-specific intron-derived miR-126 is down-regulated in human breast cancer and targets both VEGFA and PIK3R2.	mirCancerDB
hsa-miR-126-3p	BC vs Norm	Down	miR-126 regulated breast cancer cell invasion by targeting ADAM9.	mirCancerDB
hsa-miR-129-5p	BC vs Norm	Down	miR-129-5p is downregulated in breast cancer cells partly due to promoter H3K27m3 modification and regulates epithelial-mesenchymal transition and multi-drug resistance.	mirCancerDB
hsa-miR-129-5p	BC vs Norm	Down	Down-regulation of miR-129-5p via the Twist1-Snail feedback loop stimulates the epithelial-mesenchymal transition and is associated with poor prognosis in breast cancer.	mirCancerDB
hsa-miR-130a-3p	BC vs Norm	Down	MicroRNA-130a inhibits cell proliferation, invasion and migration in human breast cancer by targeting the RAB5A.	mirCancerDB
hsa-miR-132-3p	BC vs Norm	Down	miR-132 prohibits proliferation, invasion, migration, and metastasis in breast cancer by targeting HN1.	mirCancerDB
hsa-miR-132-3p	BC vs Norm	Down	Aberrant Expression of Breast Development-Related MicroRNAs, miR-22, miR-132, and miR-212, in Breast Tumor Tissues.	mirCancerDB
hsa-miR-133a-3p	BC vs Norm	Down	Evaluation of in vivo antitumor effects of low-frequency ultrasound-mediated miRNA-133a microbubble delivery in breast cancer.	mirCancerDB
hsa-miR-133a-3p	BC vs Norm	Down	microRNA-133a regulates the cell cycle and proliferation of breast cancer cells by targeting epidermal growth factor receptor through the EGFR/Akt signaling pathway.	mirCancerDB
hsa-miR-134-5p	BC vs Norm	Down	MicroRNA-134 targets KRAS to suppress breast cancer cell proliferation, migration and invasion.	mirCancerDB
hsa-miR-135a-5p	BC vs Norm	Up	miRNA-135a promotes breast cancer cell migration and invasion by targeting HOXA10.	mirCancerDB
hsa-miR-139-5p	BC vs Norm	Down	miR-139-5p inhibits the biological function of breast cancer cells by targeting Notch1 and mediates chemosensitivity to docetaxel.	mirCancerDB
hsa-miR-141-3p	BC vs Norm	Down	Downregulation of miRNA-141 in breast cancer cells is associated with cell migration and invasion: involvement of ANP32E targeting.	mirCancerDB
hsa-miR-141-3p	BC vs Norm	Up	Direct targeting of Sec23a by miR-200s influences cancer cell secretome and promotes metastatic colonization.	mirCancerDB
hsa-miR-142-3p	BC vs Norm	Down	microRNA miR-142-3p Inhibits Breast Cancer Cell Invasiveness by Synchronous Targeting of WASL, Integrin Alpha V, and Additional Cytoskeletal Elements.	mirCancerDB
hsa-miR-143-3p	BC vs Norm	Down	MicroRNA?143 targets CD44 to inhibit breast cancer progression and stem cell-like properties.	mirCancerDB
hsa-miR-143-3p	BC vs Norm	Down	miR-143 suppresses epithelial-mesenchymal transition and inhibits tumor growth of breast cancer through down-regulation of ERK5.	mirCancerDB
hsa-miR-143-3p	BC vs Norm	Down	MicroRNA-143 is downregulated in breast cancer and regulates DNA methyltransferases 3A in breast cancer cells.	mirCancerDB
hsa-miR-144-3p	BC vs Norm	Down	miR-144 functions as a tumor suppressor in breast cancer through inhibiting ZEB1/2-mediated epithelial mesenchymal transition process.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	MicroRNA-145 inhibits growth and migration of breast cancer cells through targeting oncoprotein ROCK1.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	miR-145 participates with TP53 in a death-promoting regulatory loop and targets estrogen receptor-alpha in human breast cancer cells.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	miR-145 inhibits proliferation and migration of breast cancer cells by directly or indirectly regulating TGF-?1 expression.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	miR-145 sensitizes breast cancer to doxorubicin by targeting multidrug resistance-associated protein-1.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	miR-145 inhibits breast cancer cell growth through RTKN.	mirCancerDB
hsa-miR-145-5p	BC vs Norm	Down	miR-145 inhibits tumor angiogenesis and growth by N-RAS and VEGF.	mirCancerDB
hsa-miR-146a-5p	BC vs Norm	Down	MicroRNA-146a inhibits cell migration and invasion by targeting RhoA in breast cancer.	mirCancerDB
hsa-miR-146a-5p	BC vs Norm	Down	Clinical significance of miR-146a in gastric cancer cases.	mirCancerDB
hsa-miR-146a-5p	BC vs Norm	Down	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.	mirCancerDB
hsa-miR-147a	BC vs Norm	Down	Global microRNA level regulation of EGFR-driven cell-cycle protein network in breast cancer.	mirCancerDB
hsa-miR-147a	BC vs Norm	Down	MicroRNA-147 suppresses proliferation, invasion and migration through the AKT/mTOR signaling pathway in breast cancer.	mirCancerDB
hsa-miR-148a-3p	BC vs Norm	Down	A regulatory circuit of miR-148a/152 and DNMT1 in modulating cell transformation and tumor angiogenesis through IGF-IR and IRS1.	mirCancerDB
hsa-miR-148a-3p	BC vs Norm	Down	MicroRNA-148a inhibits breast cancer migration and invasion by directly targeting WNT-1.	mirCancerDB
hsa-miR-149-5p	BC vs Norm	Down	MicroRNA-149 targets GIT1 to suppress integrin signaling and breast cancer metastasis.	mirCancerDB
