miRNA	Source	Info	Dir	Contrast
hsa-miR-10b-5p	Literature	BC immune related	Up	BC immune related
hsa-miR-19a-3p	Literature	BC immune related	Up	BC immune related
hsa-miR-21	Literature	BC immune related	Up	BC immune related
hsa-miR-155-5p	Literature	BC immune related	Up	BC immune related
hsa-miR-196b-5p	Literature	BC immune related	Up	BC immune related
hsa-miR-223-3p	Literature	BC immune related	Up	BC immune related
hsa-miR-494-3p	Literature	BC immune related	Up	BC immune related
hsa-miR-15-3p	Literature	BC immune related	Down	BC immune related
hsa-miR-23a-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-27a-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-24-2-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-29a-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-29b-1-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-31-3p	Literature	BC immune related	Down	BC immune related
hsa-miR-126-3p	Literature	BC immune related	Down	BC immune related
hsa-miR-142-3p	Literature	BC immune related	Down	BC immune related
hsa-miR-146a-5p	Literature	BC immune related	Down	BC immune related
hsa-miR-214-3p	Literature	BC immune related	Down	BC immune related
hsa-miR-17-5p	Literature	Cancer immune related	Down	Cancer immune related
hsa-miR-20a-3p	Literature	Cancer immune related	Down	Cancer immune related
hsa-miR-34a-3p	Literature	Cancer immune related	Down	Cancer immune related
hsa-miR-124-5p	Literature	Cancer immune related	Down	Cancer immune related
hsa-miR-199a-5p	Literature	Cancer immune related	Down	Cancer immune related
hsa-miR-23a-3p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-24-3p	Literature	Cancer immune related	Up	Cancer immune related
hsa-let-7c-5p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-20a-5p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-96-3p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-106b-5p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-125b-5p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-127-5p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-203a-3p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-212-3p	Literature	Cancer immune related	Up	Cancer immune related
hsa-miR-424-5p	Literature	Cancer immune related	Up	Cancer immune related
